keyword,total count,hit (not false or ?) count,hit percentage,non-male false count,non-male false percentage,worth noting count,worth noting percentage,? count,? percentage
rape,483,481,99.6,1,0.2,0,0,1,0.2
raped,309,305,98.7,4,1.3,0,0,0,0
molested,64,60,93.8,2,3.1,0,0,2,3.1
child abuse,119,109,91.6,10,8.4,0,0,0,0
harassing,64,42,65.6,21,32.8,1,1.6,1,1.6
insult,197,106,53.8,90,45.7,1,0.5,1,0.5
molesting,20,20,100,0,0,0,0,0,0
rapist,18,17,100,0,0,0,0,0,0
attack,678,346,51,329,48.5,0,0,3,0.4
harassment,294,255,86.7,35,11.9,3,1,4,1.4
harass,58,42,72.4,15,25.9,0,0,1,1.7
molest,14,13,92.9,1,7.1,0,0,0,0
seduce,24,17,70.8,7,29.2,0,0,0,0
pinched,24,11,45.8,13,54.2,0,0,0,0
harassed,163,110,67.5,49,30.1,4,2.5,4,2.5
took advantage of her,6,4,66.7,2,33.3,0,0,0,0
outrage,70,32,45.7,38,54.3,0,0,0,0
Playboy,178,87,48.9,91,51.1,0,0,0,0
took advantage of me,8,6,75,2,25,0,0,0,0
brutalized,34,17,50,15,44.1,0,0,2,5.9
"insult, raping",1,1,100,0,0,0,0,0,0
raping,86,85,98.8,1,1.2,0,0,0,0
sexual abuse,92,92,100,0,0,0,0,0,0
rapes,32,32,100,0,0,0,0,0,0
playboy,26,20,76.9,5,19.2,0,0,1,3.8
molester,11,11,100,0,0,0,0,0,0
sexual assault,72,72,100,0,0,0,0,0,0
sexual violence,45,45,100,0,0,0,0,0,0
Rape,142,140,98.6,2,1.4,0,0,0,0
seduction,5,2,60,2,40,0,0,0,0
hanky panky,24,18,75,5,20.8,0,0,1,4.2
sex abuse,17,17,100,0,0,0,0,0,0
incestuous,19,11,57.9,8,42.1,0,0,0,0
harasser,3,3,100,0,0,0,0,0,0
incest,92,87,94.6,5,5.4,0,0,0,0
molesters,5,4,100,0,0,0,0,0,0
sodomy,14,5,35.7,9,64.3,0,0,0,0
ladies' man,33,20,63.6,12,36.4,0,0,0,0
molestation,21,21,100,0,0,0,0,0,0
Clarence Thomas,294,224,76.2,70,23.8,0,0,0,0
ladies man,15,9,60,6,40,0,0,0,0
Anita Hill,64,49,76.6,13,20.3,0,0,2,3.1
Attack,7,5,85.7,1,14.3,0,0,0,0
lady's man,16,12,75,3,18.8,0,0,1,6.2
molestations,3,3,100,0,0,0,0,0,0
fondled,6,5,83.3,1,16.7,0,0,0,0
pedophile,15,15,100,0,0,0,0,0,0
harassments,4,4,100,0,0,0,0,0,0
Child Abuse,10,10,100,0,0,0,0,0,0
Sexual Abuse,4,4,100,0,0,0,0,0,0
Outrage,5,0,0,5,100,0,0,0,0
Child abuse,1,0,100,0,0,0,0,0,0
Seduction,2,0,50,1,50,0,0,0,0
molests,2,2,100,0,0,0,0,0,0
Sexual abuse,1,0,100,0,0,0,0,0,0
ravished,2,1,100,0,0,0,0,0,0
sexually inappropriate,2,2,100,0,0,0,0,0,0
fondling,4,4,100,0,0,0,0,0,0
interfered with her,2,2,100,0,0,0,0,0,0
anti-rape,9,9,100,0,0,0,0,0,0
harasses,2,2,100,0,0,0,0,0,0
Sexual Assault,14,14,100,0,0,0,0,0,0
Harassment,3,3,100,0,0,0,0,0,0
incestual,1,0,100,0,0,0,0,0,0
fondle,1,0,100,0,0,0,0,0,0
sodomized,2,2,100,0,0,0,0,0,0
molestan,1,0,0,1,100,0,0,0,0
Incest,3,3,100,0,0,0,0,0,0
ravish,1,0,0,1,100,0,0,0,0
Sexual Violence,3,3,100,0,0,0,0,0,0
incested,4,4,100,0,0,0,0,0,0
pedophilia,3,3,100,0,0,0,0,0,0
Pedophilia,1,1,100,0,0,0,0,0,0
sexist violence,4,4,100,0,0,0,0,0,0
Anti-Rape,7,7,100,0,0,0,0,0,0
Rapist,1,1,100,0,0,0,0,0,0
Sexual violence,2,2,100,0,0,0,0,0,0
sexual Violence,10,10,100,0,0,0,0,0,0
Pedophile,1,1,100,0,0,0,0,0,0
sexually abuse,1,1,100,0,0,0,0,0,0
