keyword,formats
molest*,molestations; molesting; molestation; molest; molested; molester
insult,insult
attack,attack
harass*,harassing; harassment; harass; harassed
rape,rape
clarence thomas,clarence thomas
raped,raped
anita hill,anita hill
rapist,rapist
lady's man,lady's man
playboy,playboy
brutalized,brutalized
child abuse,child abuse
rapes,rapes
incest*,incestuous; incest
outrage,outrage
ladies man,ladies man
fondled,fondled
ladies' man,ladies' man
raping,raping
sex* assault,sexual assault
sex* abuse,sexual abuse
hanky panky,hanky panky
pinched,pinched
pedophile,pedophile
seduction,seduction
seduce,seduce
took advantage of me,took advantage of me
took advantage of her,took advantage of her
sexually inappropriate,sexually inappropriate
anti-rape,anti-rape
fondling,fondling
sodomy,sodomy
interfered with her,interfered with her
