keyword,count
rape,833
attack,785
harass*,697
clarence thomas,375
raped,363
playboy,321
insult,220
child abuse,156
molest*,155
sex* abuse,138
incest*,135
sex* assault,99
raping,94
anita hill,88
outrage,83
sex* violence,75
brutalized,36
ladies' man,34
rapes,32
pinched,30
seduce,29
rapist,27
hanky panky,26
sodomy,24
anti-rape,21
pedophile,20
lady's man,17
ladies man,16
took advantage of me,8
seduction,7
took advantage of her,6
fondled,6
pedophilia,5
fondling,4
sexually inappropriate,3
ravished,2
interfered with her,2
sodomized,2
fondle,1
ravish,1
