keyword,formats
rape,rape
raped,raped
molest*,molesters; molestan; molest; molests; molested; molestations; molestation; molesting; molester
child abuse,child abuse
harass*,harassments; harasses; harassment; harassing; harassed; harasser; harass
insult,insult
rapist,rapist
attack,attack
seduce,seduce
pinched,pinched
took advantage of her,took advantage of her
outrage,outrage
playboy,playboy
took advantage of me,took advantage of me
raping,raping
brutalized,brutalized
sex* abuse,sexual abuse; sex abuse; sexually abuse
rapes,rapes
sex* assault,sexual assault
sex* violence,sexist violence; sexual violence
seduction,seduction
hanky panky,hanky panky
incest*,incestuous; incested; incestual; incest
sodomy,sodomy
ladies' man,ladies' man
clarence thomas,clarence thomas
ladies man,ladies man
anita hill,anita hill
lady's man,lady's man
fondled,fondled
pedophile,pedophile
ravished,ravished
sexually inappropriate,sexually inappropriate
fondling,fondling
interfered with her,interfered with her
anti-rape,anti-rape
fondle,fondle
sodomized,sodomized
ravish,ravish
pedophilia,pedophilia
