word_1,word_2,count
rape,raped,188
attack,harass*,164
attack,rape,130
harass*,rape,110
attack,raped,94
attack,insult,82
rape,raping,74
harass*,raped,72
harass*,insult,62
incest*,rape,62
insult,rape,60
anita hill,clarence thomas,60
raped,raping,54
insult,raped,52
molest*,raped,50
attack,clarence thomas,50
clarence thomas,harass*,50
incest*,raped,50
rape,sex* abuse,48
molest*,rape,44
rape,sex* assault,44
rape,sex* violence,44
attack,raping,42
attack,molest*,40
harass*,molest*,40
attack,outrage,40
harass*,playboy,40
child abuse,rape,38
attack,playboy,36
rape,rapes,36
harass*,raping,34
harass*,sex* assault,32
raped,sex* abuse,32
harass*,outrage,30
child abuse,raped,30
attack,child abuse,30
child abuse,sex* abuse,28
attack,incest*,28
insult,playboy,28
raped,sex* violence,26
clarence thomas,rape,26
anita hill,harass*,26
attack,sex* abuse,26
clarence thomas,raped,26
outrage,rape,24
raped,sex* assault,24
rape,rapist,22
insult,raping,20
sex* assault,sex* violence,20
brutalized,harass*,20
attack,rapes,20
playboy,rape,20
raped,rapes,18
outrage,raped,18
anita hill,attack,18
incest*,sex* abuse,18
incest*,sex* violence,18
brutalized,rape,16
brutalized,raped,16
insult,molest*,16
child abuse,insult,16
harass*,sex* abuse,16
child abuse,molest*,16
clarence thomas,molest*,16
clarence thomas,outrage,16
incest*,molest*,16
harass*,rapes,16
attack,sex* assault,16
anita hill,raped,16
molest*,sex* abuse,16
child abuse,harass*,16
anti-rape,rape,16
sex* abuse,sex* violence,16
molest*,raping,14
harass*,sex* violence,14
rape,seduce,14
ladies' man,rape,14
molest*,rapes,14
attack,pedophile,14
sex* abuse,sex* assault,14
attack,rapist,14
incest*,insult,14
playboy,raped,14
attack,brutalized,14
harass*,incest*,14
attack,sex* violence,14
rapes,raping,12
hanky panky,harass*,12
insult,outrage,12
attack,pinched,12
pedophile,raped,12
clarence thomas,insult,12
playboy,sex* abuse,12
pedophile,rape,12
anita hill,rape,12
anti-rape,incest*,12
attack,seduce,10
brutalized,insult,10
outrage,raping,10
child abuse,incest*,10
molest*,playboy,10
raped,rapist,10
anita hill,child abuse,10
child abuse,clarence thomas,10
child abuse,playboy,10
clarence thomas,raping,10
insult,seduce,10
playboy,raping,10
anti-rape,raped,10
anti-rape,attack,10
insult,rapist,8
harass*,seduce,8
molest*,seduce,8
outrage,playboy,8
clarence thomas,playboy,8
attack,lady's man,8
anita hill,outrage,8
raping,sex* assault,8
ladies' man,molest*,8
attack,hanky panky,8
attack,ladies' man,8
ladies' man,playboy,8
outrage,sex* abuse,8
incest*,playboy,8
raping,rapist,8
child abuse,rapes,8
molest*,pedophile,8
brutalized,incest*,8
