keyword,formats
rape,rape
insult,insult
ladies' man,ladies' man
molest*,molesters; molest; molests; molested; molestations; molestation; molesting; molester
attack,attack
harass*,harassments; harasses; harassment; harassing; harassed; harass
raped,raped
raping,raping
clarence thomas,clarence thomas
ladies man,ladies man
anita hill,anita hill
playboy,playboy
rapist,rapist
lady's man,lady's man
outrage,outrage
brutalized,brutalized
child abuse,child abuse
rapes,rapes
pinched,pinched
sex* abuse,sexual abuse; sex abuse
hanky panky,hanky panky
incest*,incestuous; incestual; incest
sex* assault,sexual assault
fondled,fondled
pedophile,pedophile
took advantage of her,took advantage of her
seduce,seduce
seduction,seduction
sodomy,sodomy
ravished,ravished
took advantage of me,took advantage of me
sexually inappropriate,sexually inappropriate
fondling,fondling
interfered with her,interfered with her
anti-rape,anti-rape
fondle,fondle
sodomized,sodomized
