word_1,word_2,count
attack,harass*,114
rape,raped,108
attack,rape,84
attack,insult,68
harass*,rape,58
rape,raping,56
attack,raped,54
harass*,insult,54
anita hill,clarence thomas,52
insult,rape,48
harass*,raped,48
clarence thomas,harass*,46
attack,clarence thomas,44
insult,raped,42
raped,raping,38
harass*,playboy,32
attack,raping,30
attack,playboy,30
molest*,raped,30
harass*,raping,30
harass*,molest*,28
molest*,rape,28
insult,playboy,28
attack,molest*,26
attack,outrage,24
incest*,rape,24
incest*,raped,24
clarence thomas,rape,22
attack,child abuse,22
rape,rapes,22
child abuse,rape,20
anita hill,harass*,20
clarence thomas,raped,20
rape,rapist,20
brutalized,harass*,18
child abuse,raped,18
insult,raping,16
clarence thomas,molest*,16
attack,rapes,16
ladies' man,rape,14
rape,sex* abuse,14
harass*,outrage,14
rape,sex* assault,14
outrage,rape,14
child abuse,sex* abuse,12
clarence thomas,outrage,12
attack,incest*,12
attack,sex* abuse,12
outrage,raped,12
attack,rapist,12
anita hill,raped,12
anita hill,attack,12
incest*,insult,12
clarence thomas,insult,12
child abuse,insult,12
insult,molest*,12
attack,brutalized,12
child abuse,harass*,12
raped,rapist,10
brutalized,raped,10
molest*,rapes,10
raped,rapes,10
attack,pinched,10
raped,sex* abuse,10
incest*,molest*,10
attack,pedophile,10
molest*,raping,10
harass*,rapes,10
playboy,rape,10
rape,seduce,10
insult,seduce,10
playboy,raped,10
molest*,playboy,8
attack,lady's man,8
insult,outrage,8
child abuse,molest*,8
anita hill,child abuse,8
child abuse,clarence thomas,8
outrage,raping,8
ladies' man,molest*,8
clarence thomas,raping,8
attack,sex* assault,8
pedophile,raped,8
incest*,sex* abuse,8
attack,ladies' man,8
ladies' man,playboy,8
playboy,raping,8
raping,rapist,8
pedophile,rape,8
brutalized,rape,8
clarence thomas,playboy,6
harass*,rapist,6
brutalized,insult,6
child abuse,playboy,6
anita hill,outrage,6
ladies' man,raped,6
incest*,ladies' man,6
fondled,molest*,6
rapes,raping,6
clarence thomas,rapes,6
harass*,sex* assault,6
clarence thomas,pedophile,6
insult,rapist,6
raped,seduce,6
attack,seduce,6
rapes,rapist,6
anita hill,insult,6
harass*,ladies' man,6
child abuse,incest*,6
incest*,playboy,6
molest*,rapist,6
raped,sex* assault,6
anita hill,rape,6
molest*,seduce,6
insult,ladies' man,4
ladies man,rape,4
ladies man,raped,4
ladies man,raping,4
insult,ladies man,4
raping,sex* assault,4
fondled,incest*,4
harass*,sex* abuse,4
outrage,playboy,4
insult,sex* abuse,4
child abuse,seduce,4
lady's man,rape,4
ladies' man,lady's man,4
outrage,sex* abuse,4
harass*,sodomy,4
molest*,sex* abuse,4
playboy,sex* abuse,4
brutalized,child abuse,4
insult,pedophile,4
harass*,pedophile,4
insult,seduction,4
child abuse,ladies' man,4
incest*,rapes,4
anita hill,raping,4
child abuse,rapes,4
attack,fondling,4
molest*,pedophile,4
clarence thomas,seduce,4
brutalized,outrage,4
rape,sodomy,4
ladies' man,sex* assault,4
attack,fondled,4
ladies' man,seduce,4
attack,ladies man,2
hanky panky,harass*,2
clarence thomas,hanky panky,2
anita hill,molest*,2
anita hill,playboy,2
fondled,raped,2
fondled,ladies' man,2
sex* abuse,sex* assault,2
hanky panky,molest*,2
attack,took advantage of her,2
anita hill,pedophile,2
child abuse,pedophile,2
lady's man,raped,2
outrage,sex* assault,2
playboy,rapes,2
attack,hanky panky,2
hanky panky,sex* abuse,2
molest*,seduction,2
seduce,sex* abuse,2
pinched,rape,2
pinched,raped,2
pinched,raping,2
ladies man,molest*,2
ladies' man,raping,2
lady's man,molest*,2
raping,sex* abuse,2
incest*,outrage,2
molest*,outrage,2
child abuse,outrage,2
rape,ravished,2
attack,ravished,2
pedophile,raping,2
pedophile,playboy,2
brutalized,sex* assault,2
seduce,seduction,2
brutalized,playboy,2
outrage,rapes,2
harass*,took advantage of her,2
ladies man,rapes,2
rape,sexually inappropriate,2
sex* abuse,sexually inappropriate,2
brutalized,clarence thomas,2
anita hill,sex* abuse,2
anita hill,incest*,2
harass*,ladies man,2
child abuse,raping,2
fondling,rape,2
fondling,raped,2
pedophile,rapist,2
fondling,rapist,2
insult,rapes,2
pedophile,rapes,2
fondling,rapes,2
fondling,insult,2
fondling,pedophile,2
fondling,molest*,2
hanky panky,insult,2
hanky panky,playboy,2
attack,interfered with her,2
attack,seduction,2
harass*,seduction,2
brutalized,raping,2
raped,sodomy,2
raping,sodomy,2
hanky panky,incest*,2
hanky panky,ladies' man,2
harass*,incest*,2
molest*,sex* assault,2
anti-rape,rape,2
anti-rape,raped,2
anti-rape,insult,2
rapist,sex* assault,2
insult,sex* assault,2
raping,seduce,2
insult,pinched,2
raped,took advantage of me,2
fondling,sex* abuse,2
fondled,sex* abuse,2
fondling,incest*,2
fondled,fondling,2
fondling,playboy,2
fondled,playboy,2
brutalized,incest*,2
harass*,pinched,2
clarence thomas,pinched,2
attack,took advantage of me,2
fondled,rape,2
attack,sodomy,2
molest*,sodomy,2
fondled,sodomy,2
lady's man,playboy,2
clarence thomas,incest*,2
hanky panky,took advantage of her,2
playboy,seduce,2
harass*,sexually inappropriate,2
anita hill,sexually inappropriate,2
clarence thomas,sexually inappropriate,2
brutalized,seduce,2
brutalized,ladies' man,2
harass*,took advantage of me,2
molest*,took advantage of me,2
clarence thomas,ladies' man,2
fondle,raped,2
harass*,lady's man,2
clarence thomas,rapist,2
outrage,sodomized,2
interfered with her,rape,2
interfered with her,raped,2
insult,interfered with her,2
harass*,interfered with her,2
