word_1,word_2,count
rape,raped,80
harass*,rape,52
attack,harass*,50
attack,rape,46
rape,sex* violence,44
attack,raped,38
incest*,rape,38
rape,sex* abuse,34
rape,sex* assault,30
harass*,title ix,26
raped,sex* violence,26
harass*,sex* assault,26
incest*,raped,26
rape,title ix,26
harass*,raped,24
raped,sex* abuse,22
molest*,raped,20
sex* assault,sex* violence,20
child abuse,rape,18
rape,raping,18
raped,sex* assault,18
incest*,sex* violence,18
attack,outrage,16
harass*,outrage,16
molest*,rape,16
raped,raping,16
attack,incest*,16
sex* abuse,sex* violence,16
child abuse,sex* abuse,16
attack,molest*,14
rape,rapes,14
harass*,sex* violence,14
attack,sex* violence,14
anti-rape,rape,14
harass*,molest*,12
attack,insult,12
harass*,sex* abuse,12
child abuse,raped,12
sex* abuse,sex* assault,12
molest*,sex* abuse,12
harass*,incest*,12
anti-rape,incest*,12
attack,sex* abuse,12
attack,raping,12
raped,title ix,12
attack,title ix,10
insult,rape,10
insult,raped,10
outrage,rape,10
hanky panky,harass*,10
incest*,sex* abuse,10
playboy,rape,10
anti-rape,attack,10
harass*,seduce,8
harass*,playboy,8
brutalized,rape,8
raped,rapes,8
child abuse,molest*,8
harass*,insult,8
incest*,sex* assault,8
rapes,sex* abuse,8
anita hill,clarence thomas,8
attack,sex* assault,8
anti-rape,raped,8
anti-rape,sex* violence,8
attack,child abuse,8
sex* violence,title ix,8
playboy,sex* abuse,8
sex* assault,title ix,8
attack,playboy,6
brutalized,raped,6
brutalized,molest*,6
outrage,raped,6
rapes,raping,6
attack,hanky panky,6
rapes,sex* assault,6
harass*,rapes,6
anita hill,harass*,6
attack,clarence thomas,6
incest*,molest*,6
brutalized,incest*,6
anita hill,rape,6
clarence thomas,raped,6
anita hill,attack,6
sex* abuse,title ix,6
attack,seduce,4
outrage,playboy,4
outrage,title ix,4
playboy,title ix,4
insult,raping,4
molest*,raping,4
brutalized,raping,4
insult,molest*,4
brutalized,insult,4
child abuse,insult,4
