keyword,count
rape,680
harass*,479
attack,381
raped,246
title ix,183
playboy,160
clarence thomas,146
sex* abuse,129
child abuse,124
incest*,118
insult,110
molest*,95
sex* assault,87
sex* violence,75
outrage,53
anita hill,52
raping,44
brutalized,23
pinched,21
anti-rape,21
hanky panky,20
sodomy,20
rapes,16
pedophile,13
seduce,12
ladies' man,12
rapist,9
took advantage of me,6
lady's man,6
ladies man,6
fondled,5
pedophilia,5
seduction,4
took advantage of her,3
sexually inappropriate,3
fondling,3
sex offender,3
fellat*,1
interfered with her,1
ravish,1
sodomized,1
bestial*,1
