word_1,word_2,count
rape,raped,134
attack,harass*,82
harass*,rape,78
attack,rape,76
attack,raped,54
incest*,rape,52
harass*,raped,48
rape,sex* violence,44
rape,sex* abuse,42
incest*,raped,40
attack,insult,38
rape,raping,38
insult,rape,38
rape,sex* assault,36
anita hill,clarence thomas,34
insult,raped,32
harass*,insult,32
molest*,raped,30
raped,sex* abuse,30
attack,outrage,28
harass*,title ix,28
molest*,rape,28
rape,title ix,28
child abuse,rape,26
raped,raping,26
raped,sex* violence,26
harass*,sex* assault,26
harass*,molest*,24
child abuse,raped,24
clarence thomas,harass*,24
child abuse,sex* abuse,24
attack,incest*,24
attack,molest*,22
harass*,outrage,22
harass*,playboy,22
rape,rapes,22
raped,sex* assault,22
sex* assault,sex* violence,20
attack,clarence thomas,20
attack,child abuse,20
anita hill,harass*,18
incest*,sex* abuse,18
attack,sex* abuse,18
attack,raping,18
incest*,sex* violence,18
attack,title ix,16
outrage,rape,16
child abuse,molest*,16
harass*,raping,16
anti-rape,rape,16
sex* abuse,sex* violence,16
attack,playboy,14
outrage,raped,14
harass*,sex* violence,14
harass*,sex* abuse,14
incest*,molest*,14
molest*,sex* abuse,14
raped,title ix,14
harass*,incest*,14
attack,sex* violence,14
brutalized,rape,12
brutalized,raped,12
raped,rapes,12
clarence thomas,rape,12
anita hill,raped,12
clarence thomas,raped,12
sex* abuse,sex* assault,12
anti-rape,incest*,12
child abuse,insult,10
hanky panky,harass*,10
brutalized,harass*,10
anita hill,attack,10
incest*,insult,10
attack,sex* assault,10
anti-rape,raped,10
playboy,sex* abuse,10
playboy,rape,10
anti-rape,attack,10
harass*,seduce,8
outrage,playboy,8
insult,raping,8
insult,molest*,8
brutalized,insult,8
rapes,raping,8
rape,seduce,8
child abuse,incest*,8
anita hill,child abuse,8
child abuse,playboy,8
clarence thomas,outrage,8
harass*,rapes,8
insult,outrage,8
clarence thomas,title ix,8
attack,hanky panky,8
outrage,sex* abuse,8
attack,rapes,8
attack,brutalized,8
child abuse,harass*,8
brutalized,incest*,8
incest*,sex* assault,8
rapes,sex* abuse,8
anti-rape,sex* violence,8
sex* violence,title ix,8
sex* assault,title ix,8
attack,seduce,6
molest*,raping,6
brutalized,raping,6
brutalized,molest*,6
child abuse,clarence thomas,6
fondled,molest*,6
clarence thomas,raping,6
molest*,rapes,6
pedophile,raped,6
attack,pedophile,6
child abuse,pedophile,6
rape,rapist,6
playboy,raping,6
attack,pinched,6
anita hill,sex* abuse,6
anita hill,incest*,6
child abuse,title ix,6
incest*,playboy,6
molest*,sex* assault,6
playboy,raped,6
fondling,sex* abuse,6
child abuse,rapes,6
rapes,sex* assault,6
anita hill,rape,6
sex* abuse,title ix,6
outrage,title ix,4
playboy,title ix,4
raped,took advantage of me,4
outrage,raping,4
outrage,rapes,4
