keyword,formats
molest*,molestation; molesting; molester; molested; molestations; molest
insult,insult
attack,attack
harass*,harassment; harassing; harass; harassed
rape,rape
clarence thomas,clarence thomas
raped,raped
anita hill,anita hill
rapist,rapist
lady's man,lady's man
playboy,playboy
brutalized,brutalized
child abuse,child abuse
title ix,title ix
rapes,rapes
incest*,incestuous; incest
outrage,outrage
ladies man,ladies man
fondled,fondled
ladies' man,ladies' man
raping,raping
hanky panky,hanky panky
pinched,pinched
pedophile,pedophile
sex* abuse,sexual abuse
seduction,seduction
seduce,seduce
sex* assault,sexual assault
took advantage of me,took advantage of me
took advantage of her,took advantage of her
sexually inappropriate,sexually inappropriate
anti-rape,anti-rape
fondling,fondling
sodomy,sodomy
interfered with her,interfered with her
